1804494,Entire 2bed townhouse close to City,6650296,Fiona,Dublin City,53.36237,-6.20917,Entire home/apt,120,5,89,11/07/2020,1.13,4
1860001,Double Room,9703420,Eamonn,Dublin City,53.33315,-6.2369,Private room,50,2,5,16/06/2019,0.06,1
1878302,1 bedroom apt in Dublin 6,5813354,David,Dublin City,53.3144,-6.25148,Entire home/apt,135,2,17,09/02/2020,0.21,1
1896821,Open plan Artisan House Dublin City,3826057,Eleanor,Dublin City,53.33972,-6.29294,Entire home/apt,150,2,18,25/11/2018,0.23,1
1929739,Comfy stay in Dublin,9084049,Jose&Vadym,Dublin City,53.33767,-6.29333,Private room,120,3,82,16/02/2020,1.01,3
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Liam And Fiona,Dublin City,53.35691,-6.29164,Entire home/apt,200,2,103,17/07/2020,1.36,8
1963074,Ensuite room with small kitchen area and patio,10124896,Robyn,Dublin City,53.38985,-6.27948,Private room,50,1,477,03/07/2020,6.55,1
1973352,Fantastic Portmarnock seaside Apt,4586782,Sheelagh,Fingal,53.4334,-6.12845,Entire home/apt,90,7,49,14/07/2020,0.63,1
1983907,Spacious 2 Bed City Centre House,10092333,Neil,Dublin City,53.34296,-6.297,Entire home/apt,160,2,5,19/03/2017,0.06,1
2026810,2 single cosy rooms in Ranelagh,6782586,Mary,Dublin City,53.32356,-6.25284,Private room,50,3,258,09/03/2020,3.29,2
2067000,Quiet Double Bed/Ensuite  Dublin 4,5648283,John,Dublin City,53.32964,-6.23004,Private room,50,1,409,15/03/2020,5.87,2
2120571,Stylish 2BR Apt friendly popular neighbourhood,10813583,Siobhan,Dublin City,53.36437,-6.24898,Entire home/apt,80,3,43,27/03/2020,2.3,1
2121887,Great Penthouse In City Centre,4681988,Gareth,Dublin City,53.34092,-6.26737,Entire home/apt,103,2,7,28/01/2018,0.18,1
2142451,Private Room South Dublin,10934549,Carl,Dn Laoghaire-Rathdown,53.29334,-6.27444,Private room,24,7,28,15/09/2019,0.35,2
2146858,Quiet little room near the beach!,10959010,Yi Ching,Dublin City,53.33279,-6.22129,Private room,31,1,70,30/11/2019,0.88,1
2162973,Cosy Georgian flat in Ranelagh,1467387,Ali,Dublin City,53.32333,-6.24975,Entire home/apt,105,10,55,27/09/2019,0.69,1
2164444,New-Private Floor in Georgian House,11013512,Ben,Dublin City,53.32833,-6.24959,Private room,74,2,374,01/03/2020,4.77,2
2232124,Self contained B & B. Family home 3 guests.,11392337,Deirdre,Dublin City,53.38103,-6.15726,Private room,120,1,30,02/03/2020,1.31,2
2237704,A lovely home in the heart of Dublin city.,4319848,Kitty,Dublin City,53.33843,-6.2417,Entire home/apt,500,2,31,02/10/2019,0.43,1
2283713,Camden St: Central 'n' Cosy,3888023,Daragh,Dublin City,53.33602,-6.26457,Private room,60,2,300,15/03/2020,3.9,2
2291390,Gorgeous flat in Temple Bar,11599257,Brent,Dublin City,53.34511,-6.2679,Entire home/apt,130,2,166,25/10/2019,2.31,1
2297145,Bed and Breakfast Near City Centre,11718729,Conj,Dublin City,53.33257,-6.2706,Private room,75,1,596,23/02/2020,7.84,5
2297201,Family friendly artisan house,11732846,Ciara,Dublin City,53.32787,-6.27397,Entire home/apt,150,7,8,29/07/2017,0.11,1
2320387,YOUR STAY IN DUBLIN (FREE WiFI)!!!,8538793,Gill&Pat,Dublin City,53.33227,-6.29698,Private room,40,1,118,20/11/2016,1.52,1
2345315,Smart Modern Double Size Bedroom + own bathroom,11976922,Philippina,Dublin City,53.37637,-6.31702,Private room,40,15,226,10/02/2020,3.67,3
2358328,Best Value Budget Room Killiney Dublin,6717520,Rhoda,Dn Laoghaire-Rathdown,53.25247,-6.12314,Private room,45,1,56,12/03/2020,0.72,2
2372993,2 bedroom apartment in Temple Bar,6183939,Malin,Dublin City,53.34399,-6.26856,Entire home/apt,190,3,166,26/10/2018,2.14,1
2394893,Warm family home & garden in D9,12173057,Maeve & Ken,Dublin City,53.39015,-6.24599,Private room,55,2,240,07/03/2020,3.19,3
2415104,House in the heart of Dublin,5580678,Lex,Dublin City,53.33408,-6.26561,Entire home/apt,180,2,239,08/03/2020,3.09,5
2427857,Large family home and garden D9:,12173057,Maeve & Ken,Dublin City,53.38774,-6.24521,Private room,55,2,249,08/03/2020,3.22,3
2436401,Dublin City Centre (Templebar),12452297,Brian,Dublin City,53.34487,-6.26951,Private room,59,1,192,27/05/2017,2.47,1
2466169,Cozy central compact Apt,11823727,Claudio,Dublin City,53.3451,-6.28061,Entire home/apt,59,5,202,19/03/2020,2.67,1
2471794,Elegant Victorian terrace house,12640966,Dorothy,Dn Laoghaire-Rathdown,53.2858,-6.13467,Private room,85,1,56,15/09/2019,0.75,1
2477297,The Pink Room,12471653,Marian,Dublin City,53.31574,-6.25173,Private room,150,2,2,16/05/2016,0.03,2
2481147,Modern 3 Bed Duplex Apartment - Grand Canal,234243,Johnny,Dublin City,53.34425,-6.23583,Entire home/apt,245,3,17,01/12/2019,0.34,18
2514537,Child friendly family home with large garden,12701356,Amy,Dublin City,53.36707,-6.22865,Entire home/apt,110,5,2,03/04/2018,0.06,1
2562249,Modern King Room in Central Dublin,5605429,Eddy,Dublin City,53.3519,-6.25053,Private room,66,1,11,02/07/2016,0.14,4
